"RT"	"choice"	"subjID"	"condition"
0.467566617	2	2	4
0.48425442	2	2	2
0.584068346	2	2	1
0.708961975	2	2	2
0.351009975	2	2	4
0.425985975	1	2	2
1.001808988	2	2	3
0.558991012	2	2	4
0.434732247	1	2	1
0.510334815	2	2	1
0.759385679	1	2	3
0.584888099	2	2	3
0.551655111	2	2	1
0.625778568	2	2	2
0.551136	2	2	3
0.501171753	2	2	1
0.467260444	2	2	2
0.384662914	2	2	2
0.417442765	2	2	4
0.509401679	2	2	2
0.51773116	2	2	1
0.35097521	2	2	4
0.642554469	2	2	1
0.325968988	1	2	4
0.649959506	2	2	1
1.034157827	2	2	1
0.525676642	2	2	4
1.051774025	2	2	4
0.542362074	2	2	1
0.426130173	2	2	1
0.63449758	2	2	1
0.617543506	2	2	2
0.551211852	2	2	4
0.591772444	2	2	3
0.409101827	2	2	4
0.567514074	2	2	1
0.476231111	2	2	3
0.534290173	2	2	1
0.517802667	2	2	1
0.551141926	2	2	2
0.583800494	2	2	1
0.334739753	2	2	4
0.575295605	2	2	3
0.592532148	2	2	3
0.392559012	1	2	4
0.484073877	2	2	4
0.592259951	2	2	3
0.468382815	2	2	4
0.526122667	2	2	3
0.49308484	2	2	3
0.409499654	2	2	1
0.64243516	2	2	2
0.375301136	2	2	4
0.608503704	2	2	1
0.450898568	2	2	4
0.700945383	2	2	3
0.509439605	2	3	2
0.525687309	2	3	4
0.367390815	2	3	4
0.368097185	2	3	4
0.701732741	2	3	2
0.568845432	2	3	3
0.501574716	2	3	4
0.424830025	2	3	4
0.409219951	2	3	4
0.91830716	2	3	3
0.41683121	1	3	4
0.826112395	2	3	1
0.442949926	2	3	4
0.751699358	1	3	1
0.709062716	2	3	2
0.901911309	2	3	2
0.593054025	2	3	1
1.417528889	2	3	3
0.600914568	2	3	2
0.750201679	2	3	3
0.467539358	2	3	4
0.716583901	2	3	1
0.618177185	2	3	2
0.759284938	1	3	1
0.567354864	2	3	2
0.659099654	2	3	2
0.791569778	2	3	2
0.825918815	2	3	1
0.760505679	2	3	1
0.743664593	2	3	3
0.876054123	2	3	2
1.069071802	1	3	1
0.543030123	2	3	1
0.934512988	2	3	2
0.909611457	2	3	1
1.568085333	2	3	3
0.99977363	2	3	2
0.501213235	2	3	2
1.64275121	2	3	1
0.917484642	2	3	2
1.192913778	2	3	1
0.385217975	2	3	4
1.461833086	2	3	3
0.36016	2	3	4
0.510024296	2	3	4
0.967517235	2	3	3
0.633636741	1	3	3
0.359431111	2	3	4
0.509083259	1	3	4
0.943449284	2	3	2
0.601752889	2	3	3
1.226720395	2	3	1
0.884867951	1	3	3
0.584594568	2	3	3
0.900684247	2	3	2
1.552312099	2	3	1
0.883538963	2	3	3
0.842379457	2	3	2
